English,Signs,Unicode Signs
Potato,"uR!s""Ly",ᐯ℩ⵀരⴱ☓ᴺ
Pour [into a cup],iP%c%IB,Һ⸝ȎСȎᘖᐳ
Pour out [a cup],c%IE,СȎᘖṾ
Pour out [bucket] 1,c!!GJEv,СⵀⵀᕤᘕṾ⁼
Pour out [bucket] 2,c!!GJ&Ev,СⵀⵀᕤᘕO̮Ṿ⁼
"Practice, polish",a!d%MGFy,റⵀ∣Ȏⴳᕤᘐᴺ
Praise (v),d(6L-b!!Ly,∣ᓂ⩇☓-Πⵀⵀ☓ᴺ
Praise (n),d(6L-b!!Lzzy,∣ᓂ⩇☓-Πⵀⵀ☓⁷⁷ᴺ
Preach,fQ!5SGy,ᗐₒⵀᒍ⁊ᕤᴺ
Pregnant,p!<GE,ЖⵀЭᕤṾ
Prepone,fQ!!LDF,ᗐₒⵀⵀ☓ᐲᘐ
Present,d!!GENv,∣ⵀⵀᕤṾ¦⁼
President,pR%/1EABsv,Ж℩ȎᕂᕃṾᐸᐳര⁼
Pretty,p!3BEoS,Жⵀ⦣ᐳṾО⁊
Prevent,b&%GL,ΠO̮Ȏᕤ☓
Price,fQ!!Lvy,ᗐₒⵀⵀ☓⁼ᴺ
Priest,g%9(LAy,⊃Ȏɤᓂ☓ᐸᴺ
"Prince, princess",k!:LE;L,७ⵀᑲ☓Ṿᕟ☓
Principal,"k!b""HL",७ⵀΠⴱꕊ☓
Print,g$b!EoQL,⊃ⵕΠⵀṾОₒ☓
Problem,uR((LJxL,ᐯ℩ᓂᓂ☓ᘕᙾ☓
Profit (v),fQ%8ME,ᗐₒȎᑯⴳṾ
Profit (n),fQ%8MEy,ᗐₒȎᑯⴳṾᴺ
Program,"k!b!ME-k!b""ME",७ⵀΠⵀⴳṾ-७ⵀΠⴱⴳṾ
Prohibit,dP!b!BLzz,∣⸝ⵀΠⵀᐳ☓⁷⁷
Promise,d(6L-b!s%L,∣ᓂ⩇☓-ΠⵀരȎ☓
Promote,bS!!8:Dv,Π⁊ⵀⵀᑯᑲᐲ⁼
Promotion,bS!!8S:SDv,Π⁊ⵀⵀᑯ⁊ᑲ⁊ᐲ⁼
"Proof, evidence","b""!ELy",ΠⴱⵀṾ☓ᴺ
Proud,aP%9MD,റ⸝Ȏɤⴳᐲ
Prove,"b""!ELzz",ΠⴱⵀṾ☓⁷⁷
Pull,s%&9PFv,രȎO̮ɤ⸝ᘐ⁼
Pull down,a!6S:SDv-E;S=S,റⵀ⩇⁊ᑲ⁊ᐲ⁼-Ṿᕟ⁊ᕞ⁊
Pull-up-blankets,b%9<DFLv,ΠȎɤЭᐲᘐ☓⁼
Pumpkin,"q!s""qPLy",ᕬⵀരⴱᕬ⸝☓ᴺ
"Puncture, penetrate",d(b+MG,∣ᓂΠ◷ⴳᕤ
Punish,d%P)ELE,∣Ȏ⸝ᓇṾ☓Ṿ
Purple,k!Iy,७ⵀᘖᴺ
Push,b!GNv,Πⵀᕤ¦⁼
Put,oS(J!GN,О⁊ᓂᘕⵀᕤ¦
Put on crown,bR!/1Ev,Π℩ⵀᕂᕃṾ⁼
Put on glasses,gX%2Q4QFLv,⊃ѵȎᖌₒᖍₒᘐ☓⁼
Put on top,o!8SDGN,Оⵀᑯ⁊ᐲᕤ¦
Put under,"oS!/SN-oS""b!GN",О⁊ⵀᕂ⁊¦-О⁊ⴱΠⵀᕤ¦
Put up on shelf,"oS(b""0PGL",О⁊ᓂΠⴱᨓ⸝ᕤ☓
Queen,g%:LE;L,⊃Ȏᑲ☓Ṿᕟ☓
Quick 1,aQ!!EaPzzv,റₒⵀⵀṾറ⸝⁷⁷⁼
Quick 2,aQ!!J&EaPzzv,റₒⵀⵀᘕO̮Ṿറ⸝⁷⁷⁼
"Quit, withdraw",h(o*LF,⫪ᓂОⴲ☓ᘐ
Rabbit,h&/1MhSvy,⫪O̮ᕂᕃⴳ⫪⁊⁼ᴺ
Raccoon,u#2Q4QABhy,ᐯⵚᖌₒᖍₒᐸᐳ⫪ᴺ
Race (v),aP!!JIxy,റ⸝ⵀⵀᘕᘖᙾᴺ
Race (n),aP!!Jxzzy,റ⸝ⵀⵀᘕᙾ⁷⁷ᴺ
Rain (v),pR!8S:SEvy,Ж℩ⵀᑯ⁊ᑲ⁊Ṿ⁼ᴺ
Rain (n),pR!8S:SEvzzy,Ж℩ⵀᑯ⁊ᑲ⁊Ṿ⁼⁷⁷ᴺ
Raisin,"pR!bR""LyA",Ж℩ⵀΠ℩ⴱ☓ᴺᐸ
Rake (v),pR!b!LFy,Ж℩ⵀΠⵀ☓ᘐᴺ
Rake (n),pR!b!LFzzy,Ж℩ⵀΠⵀ☓ᘐ⁷⁷ᴺ
Ram,r(/1LHGv,୪ᓂᕂᕃ☓ꕊᕤ⁼
Rat,r%3BLBy,୪Ȏ⦣ᐳ☓ᐳᴺ
Read,u(b!LEy,ᐯᓂΠⵀ☓Ṿᴺ
Real,d%6LDG,∣Ȏ⩇☓ᐲᕤ
Rearrange,oS(Hwy,О⁊ᓂꕊᣛᴺ
Record player,qP!!Hwy,ᕬ⸝ⵀⵀꕊᣛᴺ
Rectangle 1,dP!!LABoQ,∣⸝ⵀⵀ☓ᐸᐳОₒ
Rectangle 2,g!!LABoQv,⊃ⵀⵀ☓ᐸᐳОₒ⁼
Red,d#6LEdRy,∣ⵚ⩇☓Ṿ∣℩ᴺ
Reflect,r(b!BLG,୪ᓂΠⵀᐳ☓ᕤ
Refrigerator,s$$ABzzy-b%%LABN-b&8S:SENv,രⵕⵕᐸᐳ⁷⁷ᴺ-ΠȎȎ☓ᐸᐳ¦-ΠO̮ᑯ⁊ᑲ⁊Ṿ¦⁼
Refuel,aP%s%IEL,റ⸝ȎരȎᘖṾ☓
Refuse,aP%8FN,റ⸝Ȏᑯᘐ¦
Regularly,d&%LyG,∣O̮Ȏ☓ᴺᕤ
Reject,bR!b!LDbzz,Π℩ⵀΠⵀ☓ᐲΠ⁷⁷
Relieved,b%9<MEv,ΠȎɤЭⴳṾ⁼
Religion,r(:LIG,୪ᓂᑲ☓ᘖᕤ
Remember 1,aP#0L-aP#(L,റ⸝ⵚᨓ☓-റ⸝ⵚᓂ☓
Remember 2,aP#0L-aP##L,റ⸝ⵚᨓ☓-റ⸝ⵚⵚ☓
Remind,"bS!s""GLy",Π⁊ⵀരⴱᕤ☓ᴺ
Remote control,dR(NaQy,∣℩ᓂ¦റₒᴺ
Remove,c!b!ELEs,СⵀΠⵀṾ☓Ṿര
Renovate,"b&s""SLFDy",ΠO̮രⴱ⁊☓ᘐᐲᴺ
"Repossess, take over, take by force",c%%DsNvzz,СȎȎᐲര¦⁼⁷⁷
"Resemble, look like",d(3H-iP&Ay,∣ᓂ⦣ꕊ-Һ⸝O̮ᐸᴺ
Rest,b!:8Lv,Πⵀᑲᑯ☓⁼
Restaurant,r(6LBL,୪ᓂ⩇☓ᐳ☓
Restroom,r!ENAE,୪ⵀṾ¦ᐸṾ
Rhinoceros,iP%3LEG,Һ⸝Ȏ⦣☓Ṿᕤ
Rich,s&b!LDpR,രO̮Πⵀ☓ᐲЖ℩
Ride,hR#c&LGv,⫪℩ⵚСO̮☓ᕤ⁼
Rifle 1,dP($8S:PEvy,∣⸝ᓂⵕᑯ⁊ᑲ⸝Ṿ⁼ᴺ
Rifle 2,dP($8S:PGvy,∣⸝ᓂⵕᑯ⁊ᑲ⸝ᕤ⁼ᴺ
Right,d&%EL,∣O̮ȎṾ☓
Ring 1,d%b!BLy,∣ȎΠⵀᐳ☓ᴺ
Ring 2,fQ*p(SMFy,ᗐₒⴲЖᓂ⁊ⴳᘐᴺ
Rise,"p""Dv",Жⴱᐲ⁼
Robber,hS%3L-hP&Ev,⫪⁊Ȏ⦣☓-⫪⸝O̮Ṿ⁼
Rock,"a!""Ly",റⵀⴱ☓ᴺ
Rocket,r%b!MDy,୪ȎΠⵀⴳᐲᴺ
Rocking chair,uP!!J%vy,ᐯ⸝ⵀⵀᘕȎ⁼ᴺ
Roll,d((HwyG,∣ᓂᓂꕊᣛᴺᕤ
Roll up,"d!""Hwy",∣ⵀⴱꕊᣛᴺ
Roller skate(s) (n),uR&&GFwzzy,ᐯ℩O̮O̮ᕤᘐᣛ⁷⁷ᴺ
Rollerskate (v),uR&&GFwy,ᐯ℩O̮O̮ᕤᘐᣛᴺ
Roof,b((DBAL,Πᓂᓂᐲᐳᐸ☓
"Room, box",bS(#ABb,Π⁊ᓂⵚᐸᐳΠ
Rooster,uP%0Ly,ᐯ⸝Ȏᨓ☓ᴺ
Rough,pR!b!LGzz,Ж℩ⵀΠⵀ☓ᕤ⁷⁷
Row,s%%8S:SGEvy,രȎȎᑯ⁊ᑲ⁊ᕤṾ⁼ᴺ
Rub in,"b#s""MFGy",Πⵚരⴱⴳᘐᕤᴺ
Rude,qP!b!LGzz,ᕬ⸝ⵀΠⵀ☓ᕤ⁷⁷
"Ruin, spoil, rot 1",dR&%LG,∣℩O̮Ȏ☓ᕤ
"Ruin, spoil, rot 2",dR&%MJ%G,∣℩O̮ȎⴳᘕȎᕤ
Rumble,s&8S:SCwy,രO̮ᑯ⁊ᑲ⁊ⵢᣛᴺ
Run,dT+*LKGv,∣℩⸝◷ⴲ☓≈ᕤ⁼
Run around,dT+*LHv,∣℩⸝◷ⴲ☓ꕊ⁼
Russia,p%;=Lvy,ЖȎᕟᕞ☓⁼ᴺ
Rutted,b%&LIyG,ΠȎO̮☓ᘖᴺᕤ
Sad,p!57Ev,ЖⵀᒍᒐṾ⁼
Salad,pR((BADy,Ж℩ᓂᓂᐳᐸᐲᴺ
Salt,"u#""QMKy",ᐯⵚⴱₒⴳ≈ᴺ
Same,d%%Ly,∣ȎȎ☓ᴺ
Sandals,dR*p+LFy,∣℩ⴲЖ◷☓ᘐᴺ
Saturday,"s""Hy",രⴱꕊᴺ
Sausage,c%%LsvyAB,СȎȎ☓ര⁼ᴺᐸᐳ
Save,"u#s""FLy",ᐯⵚരⴱᘐ☓ᴺ
Save money,oS!o%BLy,О⁊ⵀОȎᐳ☓ᴺ
Saw,"b&""MGFy",ΠO̮ⴱⴳᕤᘐᴺ
Say,d(6Ly,∣ᓂ⩇☓ᴺ
"Say ""no""",hU!GhQ,⫪⁊⸝ⵀᕤ⫪ₒ
"Scale, balance",b%%EDxy,ΠȎȎṾᐲᙾᴺ
Scare,s!8:BAp,രⵀᑯᑲᐳᐸЖ
Scarf,c!!9HLABo,Сⵀⵀɤꕊ☓ᐸᐳО
School,b!!Ly,Πⵀⵀ☓ᴺ
Scissors,"u""Nhy",ᐯⴱ¦⫪ᴺ
Scold,d&5SJ&Gy,∣O̮ᒍ⁊ᘕO̮ᕤᴺ
Scotland,"n#:MA-n"":ME",ቨⵚᑲⴳᐸ-ቨⴱᑲⴳṾ
Scratch,pR!)PMDEy,Ж℩ⵀᓇ⸝ⴳᐲṾᴺ
Screwdriver,h(b!MJy,⫪ᓂΠⵀⴳᘕᴺ
Scrub,a!b!MGFy,റⵀΠⵀⴳᕤᘐᴺ
Secretary,k!5L-k!b!MG,७ⵀᒍ☓-७ⵀΠⵀⴳᕤ
See 1,u(2QLG,ᐯᓂᖌₒ☓ᕤ
See 2,u(3LG,ᐯᓂ⦣☓ᕤ
Seem,bS8SJ,Π⁊ᑯ⁊ᘕ
Sell,"oS%%5S7SJ""v",О⁊ȎȎᒍ⁊ᒐ⁊ᘕⴱ⁼
Send 1,"bU!b""LGb",Π⁊⸝ⵀΠⴱ☓ᕤΠ
Send 2,"b!""LJ""G",Πⵀⴱ☓ᘕⴱᕤ
Separate,bR((LAB,Π℩ᓂᓂ☓ᐸᐳ
"Servant, service",b&&;S=SGFwzzy,ΠO̮O̮ᕟ⁊ᕞ⁊ᕤᘐᣛ⁷⁷ᴺ
Serve,b&&;S=SGFwy,ΠO̮O̮ᕟ⁊ᕞ⁊ᕤᘐᣛᴺ
Settle down,p!ENv,ЖⵀṾ¦⁼
Sew,fQ!!LDAy,ᗐₒⵀⵀ☓ᐲᐸᴺ
Sew (machine),dR!b!MGFy,∣℩ⵀΠⵀⴳᕤᘐᴺ
Sewing machine,dR!b!MGFzzy,∣℩ⵀΠⵀⴳᕤᘐ⁷⁷ᴺ
"Shame, be ashamed","bS""Q5LJG",Π⁊ⴱₒᒍ☓ᘕᕤ
Share,b&%MC,ΠO̮Ȏⴳⵢ
Shave [female],dR%5MEy,∣℩ȎᒍⴳṾᴺ
Shave [male],iP%5MEy,Һ⸝ȎᒍⴳṾᴺ
Shear (v),aQ((BAy,റₒᓂᓂᐳᐸᴺ
Shears,aQ((BAzzy,റₒᓂᓂᐳᐸ⁷⁷ᴺ
Sheep,"u""Q$PLFy",ᐯⴱₒⵕ⸝☓ᘐᴺ
Shelves,b%%LABNyE,ΠȎȎ☓ᐸᐳ¦ᴺṾ
Ship,uP%b!LGy,ᐯ⸝ȎΠⵀ☓ᕤᴺ
Shirt,fQ*9LGy,ᗐₒⴲɤ☓ᕤᴺ
Shock 1,pR!;S=SEzzv,Ж℩ⵀᕟ⁊ᕞ⁊Ṿ⁷⁷⁼
Shock 2,s%2Q4QNcv,രȎᖌₒᖍₒ¦С⁼
Shock (n),s%2Q4QNcvzz,രȎᖌₒᖍₒ¦С⁼⁷⁷
Shoe,s%%Lvy,രȎȎ☓⁼ᴺ
Shoot a handgun,dP(GdT,∣⸝ᓂᕤ∣℩⸝
Shoot a rifle,dP($8S:PEv,∣⸝ᓂⵕᑯ⁊ᑲ⸝Ṿ⁼
Shop,oS(b!LGy,О⁊ᓂΠⵀ☓ᕤᴺ
Shopping,oS(b!LGDy,О⁊ᓂΠⵀ☓ᕤᐲᴺ
Short,b!;SEy,Πⵀᕟ⁊Ṿᴺ
Short (object),d!!BAq,∣ⵀⵀᐳᐸᕬ
Short (time),h&S%SMGFy,⫪O̮⁊Ȏ⁊ⴳᕤᘐᴺ
Short hair 1,b&57BxLy,ΠO̮ᒍᒐᐳᙾ☓ᴺ
Short hair 2,bS&57Lvy,Π⁊O̮ᒍᒐ☓⁼ᴺ
Shoulder,bS!8Ly,Π⁊ⵀᑯ☓ᴺ
Shovel,"bR""Qb!FLFzzy",Π℩ⴱₒΠⵀᘐ☓ᘐ⁷⁷ᴺ
Show,d(b!LGv,∣ᓂΠⵀ☓ᕤ⁼
Shower 1,s!0(Epy,രⵀᨓᓂṾЖᴺ
Shower 2,s!0Fpy,രⵀᨓᘐЖᴺ
Show-me,d(b!LFv,∣ᓂΠⵀ☓ᘐ⁼
Shy,bU(5MJy,Π⁊⸝ᓂᒍⴳᘕᴺ
Sick 1,qP!0Ly,ᕬ⸝ⵀᨓ☓ᴺ
Sick 2,qP!09Lvy,ᕬ⸝ⵀᨓɤ☓⁼ᴺ
Side,bS!;BLy,Π⁊ⵀᕟᐳ☓ᴺ
Sign (v),d((Hwy,∣ᓂᓂꕊᣛᴺ
Sign (n),d((Hwzzy,∣ᓂᓂꕊᣛ⁷⁷ᴺ
Silly,iP%3By,Һ⸝Ȏ⦣ᐳᴺ
Silverware,d&P%PMGy-u(b!L-u#6L,∣O̮⸝Ȏ⸝ⴳᕤᴺ-ᐯᓂΠⵀ☓-ᐯⵚ⩇☓
Simple,fQ!!ALA,ᗐₒⵀⵀᐸ☓ᐸ
Sing,b&$PJFIGy,ΠO̮ⵕ⸝ᘕᘐᘖᕤᴺ
Sink,b!!MH-b&&LAB-b%;S=SDv,Πⵀⵀⴳꕊ-ΠO̮O̮☓ᐸᐳ-ΠȎᕟ⁊ᕞ⁊ᐲ⁼
Sister,dP%6L-dP&%L,∣⸝Ȏ⩇☓-∣⸝O̮Ȏ☓
Sit,"hR#""QEL",⫪℩ⵚⴱₒṾ☓
Sit in a circle,n%%LJLv,ቨȎȎ☓ᘕ☓⁼
Size,iP%%Lvzzy,Һ⸝ȎȎ☓⁼⁷⁷ᴺ
Skateboard,uR&&Gvy,ᐯ℩O̮O̮ᕤ⁼ᴺ
Ski,dR&&EGv,∣℩O̮O̮Ṿᕤ⁼
Ski cross-country,dR&&AGNBGv,∣℩O̮O̮ᐸᕤ¦ᐳᕤ⁼
Skin,aQ*5MGy,റₒⴲᒍⴳᕤᴺ
Skinny,i((LE,Һᓂᓂ☓Ṿ
Skirt,p%;=LGEv,ЖȎᕟᕞ☓ᕤṾ⁼
Skis,dR&&EGvy,∣℩O̮O̮Ṿᕤ⁼ᴺ
Skunk,k%0LDF,७Ȏᨓ☓ᐲᘐ
Slave,"s$S""SLEAEB",രⵕ⁊ⴱ⁊☓ṾᐸṾᐳ
Sleep,pS!3EoS,Ж⁊ⵀ⦣ṾО⁊
Sleepy,p!3EpSy,Жⵀ⦣ṾЖ⁊ᴺ
Slender,b$;=MIEv,ΠⵕᕟᕞⴳᘖṾ⁼
Slice [oblong],b!c%ELEy,ΠⵀСȎṾ☓Ṿᴺ
Slide,"hR(b""LEG",⫪℩ᓂΠⴱ☓Ṿᕤ
Slither,dS%bR!CG,∣⁊ȎΠ℩ⵀⵢᕤ
Slow,"b#""MF",Πⵚⴱⴳᘐ
Small,b!!BAy,Πⵀⵀᐳᐸᴺ
Small (cup),b!!Ey,ΠⵀⵀṾᴺ
Small animal (cl),hR&N,⫪℩O̮¦
Smart,d(P0LGzz,∣ᓂ⸝ᨓ☓ᕤ⁷⁷
Smell,b#3DGy,Πⵚ⦣ᐲᕤᴺ
Smile,cS%6LJ!AB,С⁊Ȏ⩇☓ᘕⵀᐸᐳ
Smoke [a cigarette],u#6Ly,ᐯⵚ⩇☓ᴺ
"Smoke, steam, reek",pR!!HxyD,Ж℩ⵀⵀꕊᙾᴺᐲ
Smoke-a-pipe,iP%6LGy,Һ⸝Ȏ⩇☓ᕤᴺ
Smooth,oS(Gav,О⁊ᓂᕤറ⁼
Snail,"dR!b""MKF",∣℩ⵀΠⴱⴳ≈ᘐ
Snake,"uR""6LHG",ᐯ℩ⴱ⩇☓ꕊᕤ
Snoop,d(3L-dR#%LyG,∣ᓂ⦣☓-∣℩ⵚȎ☓ᴺᕤ
Snow,b(8:Lv-p!8S:SKEv,Πᓂᑯᑲ☓⁼-Жⵀᑯ⁊ᑲ⁊≈Ṿ⁼
Soap,b#$LFy,Πⵚⵕ☓ᘐᴺ
Soccer,b%&DLy,ΠȎO̮ᐲ☓ᴺ
Socks,d%%MGFxy,∣ȎȎⴳᕤᘐᙾᴺ
Soda,fQ!s%LDpEL,ᗐₒⵀരȎ☓ᐲЖṾ☓
Soft,"p""EpSvy",ЖⴱṾЖ⁊⁼ᴺ
Soil,oS(8Say,О⁊ᓂᑯ⁊റᴺ
Some,b&!MF,ΠO̮ⵀⴳᘐ
Something,"d""Hy",∣ⴱꕊᴺ
Sometimes,d(b!LJDy,∣ᓂΠⵀ☓ᘕᐲᴺ
Son,b%0L-b&)RL,ΠȎᨓ☓-ΠO̮ᓇ℩☓
"Song, music",b&$PJFIGzzy,ΠO̮ⵕ⸝ᘕᘐᘖᕤ⁷⁷ᴺ
Sore,s&%Hwy,രO̮Ȏꕊᣛᴺ
Sore throat,g!9(MEy,⊃ⵀɤᓂⴳṾᴺ
Sorry,a!9MH,റⵀɤⴳꕊ
Soup,h(c*-h#6D,⫪ᓂСⴲ-⫪ⵚ⩇ᐲ
Sour,d(6MJ,∣ᓂ⩇ⴳᘕ
South,s&E,രO̮Ṿ
"Spain, Mexico 1",dR(8L-dRL,∣℩ᓂᑯ☓-∣℩☓
"Spain, Mexico 2",dR(8:Lv-dRL,∣℩ᓂᑯᑲ☓⁼-∣℩☓
Sparkle,"qP""JyvD",ᕬ⸝ⴱᘕᴺ⁼ᐲ
Spend money,s&;=LGpvy,രO̮ᕟᕞ☓ᕤЖ⁼ᴺ
Spider,"pR!""LKGv",Ж℩ⵀⴱ☓≈ᕤ⁼
Spill,oS%%LGABp,О⁊ȎȎ☓ᕤᐸᐳЖ
Spin,oQ!J&azz,ОₒⵀᘕO̮റ⁷⁷
Spit,"s""6LDGd",രⴱ⩇☓ᐲᕤ∣
Spoon out,"h""Qs%LGE",⫪ⴱₒരȎ☓ᕤṾ
Spouse,c**EL,СⴲⴲṾ☓
Spread,oS!!LGABp,О⁊ⵀⵀ☓ᕤᐸᐳЖ
Spread on,h#b!MGyA,⫪ⵚΠⵀⴳᕤᴺᐸ
Spring,"o""c*MDpy",ОⴱСⴲⴳᐲЖᴺ
Sprinkle,oS!b!KH,О⁊ⵀΠⵀ≈ꕊ
Stab,s&b!ELzz,രO̮ΠⵀṾ☓⁷⁷
Stamp (postal),h#6L-h##L,⫪ⵚ⩇☓-⫪ⵚⵚ☓
Stamp,s&b!ELzD,രO̮ΠⵀṾ☓⁷ᐲ
Stand,u(b!EL,ᐯᓂΠⵀṾ☓
Stand in a circle,n%%LJLv,ቨȎȎ☓ᘕ☓⁼
"Stand up, get up",uR!b!IL,ᐯ℩ⵀΠⵀᘖ☓
Standing,"aP&b""L",റ⸝O̮Πⴱ☓
Stapler,bT%b%Nay,Π℩⸝ȎΠȎ¦റᴺ
Stare,nS!8S:SNv,ቨ⁊ⵀᑯ⁊ᑲ⁊¦⁼
Start,d#b+MJ,∣ⵚΠ◷ⴳᘕ
Steal,u!s)AuR,ᐯⵀരᓇᐸᐯ℩
Steps,b%&DJyD,ΠȎO̮ᐲᘕᴺᐲ
Sticky,"p""Eqvy",ЖⴱṾᕬ⁼ᴺ
Still,iP&IGv,Һ⸝O̮ᘖᕤ⁼
Sting,"oQ!b""ELzzD",ОₒⵀΠⴱṾ☓⁷⁷ᐲ
Stir,aQ(c%Hy,റₒᓂСȎꕊᴺ
Stomach,bS!=Ly,Π⁊ⵀᕞ☓ᴺ
Stone wall,pR!GwyD,Ж℩ⵀᕤᣛᴺᐲ
Stop,b&!EL,ΠO̮ⵀṾ☓
Store,"oS%%5S7SJ""vy",О⁊ȎȎᒍ⁊ᒐ⁊ᘕⴱ⁼ᴺ
Story,fQ**LABy,ᗐₒⴲⴲ☓ᐸᐳᴺ
Straight,b&%MG,ΠO̮Ȏⴳᕤ
Strange,c%3BLJ!,СȎ⦣ᐳ☓ᘕⵀ
Strangle 1,c&%MJ!vy,СO̮Ȏⴳᘕⵀ⁼ᴺ
Strangle 2,"c&%MJ""vy",СO̮Ȏⴳᘕⴱ⁼ᴺ
Strangle 3,c&%LGvy,СO̮Ȏ☓ᕤ⁼ᴺ
Strawberry,d#6LE-a%6L,∣ⵚ⩇☓Ṿ-റȎ⩇☓
Strict 1,hR%3FL,⫪℩Ȏ⦣ᘐ☓
Strict 2,uR%3FL,ᐯ℩Ȏ⦣ᘐ☓
Strike-a-match,aQ(b!LJDG,റₒᓂΠⵀ☓ᘕᐲᕤ
String,i((LA,Һᓂᓂ☓ᐸ
Strong 1,"s""Gzzv",രⴱᕤ⁷⁷⁼
Strong 2,s&Ezzv,രO̮Ṿ⁷⁷⁼
Stubborn,bP%/MbUzz,Π⸝ȎᕂⴳΠ⁊⸝⁷⁷
Stuck,u(9(FL,ᐯᓂɤᓂᘐ☓
Student,pS!b!LDoS-b&8:Ev,Ж⁊ⵀΠⵀ☓ᐲО⁊-ΠO̮ᑯᑲṾ⁼
Study,p(b!KEy,ЖᓂΠⵀ≈Ṿᴺ
Study hard,s!b!Epy,രⵀΠⵀṾЖᴺ
Stupid,"u""0FL",ᐯⴱᨓᘐ☓
Submerge,uP!b&JyE,ᐯ⸝ⵀΠO̮ᘕᴺṾ
Subtract,c!b!ELEs,СⵀΠⵀṾ☓Ṿര
Subway,d%b!MGy,∣ȎΠⵀⴳᕤᴺ
Suffer,s&%GEwy,രO̮ȎᕤṾᣛᴺ
Sugar,h#6LEy,⫪ⵚ⩇☓Ṿᴺ
Suggest,b&&DGv,ΠO̮O̮ᐲᕤ⁼
Suitcase,s(;SEy,രᓂᕟ⁊Ṿᴺ
Summer 1,d%P0MAdR,∣Ȏ⸝ᨓⴳᐸ∣℩
Summer 2,d%P0MAdRy,∣Ȏ⸝ᨓⴳᐸ∣℩ᴺ
Sunbathe,pS!/Hy,Ж⁊ⵀᕂꕊᴺ
Sunday,b!Hvy,Πⵀꕊ⁼ᴺ
Sunrise,c%b&D,СȎΠO̮ᐲ
Sunset,c%b&E,СȎΠO̮Ṿ
Sunshine,o!/S1SEpv,Оⵀᕂ⁊ᕃ⁊ṾЖ⁼
Surf,"h(""QLEGv",⫪ᓂⴱₒ☓Ṿᕤ⁼
Surfboard,"h(""QLGvy",⫪ᓂⴱₒ☓ᕤ⁼ᴺ
Surgeon,aP%b!MGy,റ⸝ȎΠⵀⴳᕤᴺ
Surprise,oQ%2Q4QLDdPzzy,ОₒȎᖌₒᖍₒ☓ᐲ∣⸝⁷⁷ᴺ
Surveyor,iP%%MJy,Һ⸝ȎȎⴳᘕᴺ
Suspenders,hS!;=FhQLvy,⫪⁊ⵀᕟᕞᘐ⫪ₒ☓⁼ᴺ
Sweat,s(57J!pv,രᓂᒍᒐᘕⵀЖ⁼
Sweater,s$8:MEv,രⵕᑯᑲⴳṾ⁼
Sweden 1,"pS*b""SLDoSy",Ж⁊ⴲΠⴱ⁊☓ᐲО⁊ᴺ
Sweden 2,s%0Ey,രȎᨓṾᴺ
Sweden 3,s%0Hy,രȎᨓꕊᴺ
Sweep,b&!FLFy,ΠO̮ⵀᘐ☓ᘐᴺ
Sweet,b#6LEy,Πⵚ⩇☓Ṿᴺ
Swell,pR!!LABz,Ж℩ⵀⵀ☓ᐸᐳ⁷
Swim,b%%GABy,ΠȎȎᕤᐸᐳᴺ
Swing,"hR#h""QLJ""GJ!Fvy",⫪℩ⵚ⫪ⴱₒ☓ᘕⴱᕤᘕⵀᘐ⁼ᴺ
Swing a bat,s&%LGBv,രO̮Ȏ☓ᕤᐳ⁼
Swirl,p((6S9SHwy,Жᓂᓂ⩇⁊ɤ⁊ꕊᣛᴺ
Switch,dR%J%y,∣℩ȎᘕȎᴺ
Switch off,dR%J&EN,∣℩ȎᘕO̮Ṿ¦
Switch on,dR%J%DN,∣℩ȎᘕȎᐲ¦
Switzerland 1,c!9ME-c!9MA,СⵀɤⴳṾ-Сⵀɤⴳᐸ
Switzerland 2,cQ!9ME-cQ!9MA,СₒⵀɤⴳṾ-Сₒⵀɤⴳᐸ
Table,"b!""PLy",Πⵀⴱ⸝☓ᴺ
Taiwan,s%6J!y,രȎ⩇ᘕⵀᴺ
Take 1,"p""FsN",Жⴱᘐര¦
Take 2,p!FsN,Жⵀᘐര¦
Take [someone to a place],b&&G8Pv,ΠO̮O̮ᕤᑯ⸝⁼
Take a pill 1,oQ!6FdPy,Оₒⵀ⩇ᘐ∣⸝ᴺ
Take a pill 2,s!6Fdy,രⵀ⩇ᘐ∣ᴺ
Take care of,k&%Ly,७O̮Ȏ☓ᴺ
Take it easy,p!ENAENv,ЖⵀṾ¦ᐸṾ¦⁼
Take off [airplane],jP!b!LDG,Ч⸝ⵀΠⵀ☓ᐲᕤ
Take train to,"h#""QLG",⫪ⵚⴱₒ☓ᕤ
Take-a-picture,dP%dT%57NdT,∣⸝Ȏ∣℩⸝Ȏᒍᒐ¦∣℩⸝
Talk,n%6LGy,ቨȎ⩇☓ᕤᴺ
Tall,bS(/SDN,Π⁊ᓂᕂ⁊ᐲ¦
Tan,t%5ME,൪ȎᒍⴳṾ
"Tap shoulder, remind",bS!8PGNy,Π⁊ⵀᑯ⸝ᕤ¦ᴺ
Taste,qP!6Ly,ᕬ⸝ⵀ⩇☓ᴺ
Tea,fQ!o%MH,ᗐₒⵀОȎⴳꕊ
Teach,oS&8S:SGvy,О⁊O̮ᑯ⁊ᑲ⁊ᕤ⁼ᴺ
Teacher,oS&8S:SGv-b&8S:SEvN,О⁊O̮ᑯ⁊ᑲ⁊ᕤ⁼-ΠO̮ᑯ⁊ᑲ⁊Ṿ⁼¦
